Ticker,Avg Abs Change (%),Avg Net Change (%),Std Dev Change (%),Earnings Count
INTU,5.668333333333333,-0.43500000000000005,8.203263762895617,12
NXPI,5.6463636363636365,-0.5627272727272729,8.470252759993754,11
DHR,5.645,0.19666666666666663,7.196792635780486,12
SNPS,5.608333333333333,-1.7133333333333332,9.626900127279084,12
MNST,5.605833333333333,2.4258333333333333,6.3851510387679005,12
HAS,5.598461538461539,0.8907692307692308,7.180581988412061,13
APTV,5.593333333333334,0.2883333333333334,7.029052481514047,12
CRM,5.585,0.2133333333333333,7.615575347850474,12
A,5.581666666666667,0.47000000000000003,7.343087039707978,12
SBUX,5.53,0.9700000000000001,7.113087809230122,12
GLW,5.511818181818182,-0.2645454545454546,6.252515275689238,11
CSCO,5.4991666666666665,1.2158333333333333,7.05824399786047,12
RMD,5.4750000000000005,2.4616666666666664,6.429406636461074,12
ISRG,5.424166666666667,2.329166666666667,6.770298044108591,12
BF-B,5.406666666666666,-0.20999999999999994,7.444620998961722,12
EFX,5.4025,-2.095833333333333,6.403682830050125,12
GDDY,5.399166666666666,-1.8658333333333335,7.1515801919872395,12
EMR,5.384166666666666,0.5608333333333333,6.123487506513281,12
HRL,5.3808333333333325,-0.09083333333333322,7.665428243191318,12
HWM,5.3566666666666665,4.006666666666667,5.31046536795434,12
GEHC,5.271818181818182,-0.2209090909090908,6.015159938930061,11
UPS,5.251666666666666,-1.6466666666666665,6.9202855082107355,12
DAL,5.190833333333333,1.9974999999999996,6.246651648537945,12
JCI,5.1450000000000005,1.64,6.198491018715033,12
MPWR,5.1433333333333335,0.48666666666666664,6.026077170150251,12
WBD,5.126666666666667,-2.1466666666666665,6.673208759773304,12
BKNG,5.065833333333333,-0.2108333333333333,6.05972315349222,12
MGM,5.0249999999999995,0.20833333333333334,6.268654826462638,12
SJM,5.0175,-0.03916666666666676,5.958437040843594,12
MAS,4.9675,2.494166666666666,5.628843669938441,12
ADSK,4.96,0.6166666666666666,6.086711805733914,12
LVS,4.930833333333333,0.42916666666666664,6.129744853556058,12
DPZ,4.929166666666666,0.32583333333333336,6.253393926985618,12
SW,4.87875,-1.96625,5.099165022684736,8
CDW,4.86,-1.3549999999999998,6.167239694915827,12
VRSK,4.8500000000000005,-0.37666666666666654,6.338094542071964,12
RVTY,4.79,-1.1666666666666667,6.772486227152455,12
FTV,4.786363636363636,-0.6481818181818182,6.220650799043165,11
GPC,4.78,-2.31,6.157794764656934,12
HCA,4.756923076923077,-0.7846153846153847,5.699822534349374,13
TECH,4.7491666666666665,1.5141666666666664,6.077277288591023,12
PWR,4.7225,2.3825,5.3330055060231025,12
CNC,4.710833333333333,0.9024999999999999,6.286522560930717,12
ROL,4.69,-2.3316666666666666,6.577278842325066,12
CTVA,4.6875,1.4625000000000004,7.907485665207022,12
ELV,4.677499999999999,-1.8924999999999998,6.476052564501143,12
UBER,4.675833333333333,-2.1941666666666664,4.926555976326544,12
ZBH,4.655,-2.045,5.108827476223697,12
DRI,4.650833333333334,1.0441666666666667,5.810134497478339,12
CLX,4.617500000000001,1.4758333333333333,5.3146033091222655,12
GEN,4.609166666666667,2.1141666666666667,4.943499787753121,12
KVUE,4.609090909090909,2.5309090909090908,6.912166743569566,11
BDX,4.5725,-1.7475000000000003,5.400804864260343,12
HPQ,4.57,-2.106666666666667,5.278998412807513,12
ALLE,4.539166666666667,0.12250000000000012,5.694258871083146,12
CMCSA,4.493076923076924,-1.2176923076923079,5.277330691814683,13
MSFT,4.463636363636364,0.06727272727272725,5.595920104699657,11
MMM,4.449166666666667,2.5141666666666667,4.508633048907059,12
RCL,4.445833333333334,1.3375000000000001,5.266634469598553,12
ROP,4.421666666666667,-1.3833333333333335,5.460829662794894,12
MCHP,4.3741666666666665,-0.8908333333333335,5.653329603522211,12
GPN,4.3675,3.385833333333333,5.336785648740828,12
RTX,4.365833333333334,1.9741666666666668,4.892914094211479,12
COIN,4.360833333333333,0.04916666666666656,6.441228649500926,12
CAH,4.336666666666667,0.5816666666666666,5.59473101690467,12
ON,4.335833333333333,-1.1158333333333332,5.6679793711264645,12
GEV,4.329,2.217,5.091140562017731,10
TMO,4.318333333333333,0.5666666666666668,5.825763053155797,12
CAT,4.2975,-0.012499999999999992,5.140368089048594,12
APD,4.296666666666667,-0.8616666666666667,5.676310955242504,12
TSN,4.240833333333334,0.6591666666666667,5.103552164617278,12
WMT,4.214166666666666,0.5258333333333333,4.910372062061977,12
TTWO,4.201666666666667,1.045,5.078323810793551,12
TAP,4.12,-0.8099999999999999,5.19371123221501,12
TT,4.0841666666666665,1.9208333333333334,4.427440176349254,12
MKC,4.0625,-0.04083333333333342,4.818948316675318,12
GM,4.045,1.3666666666666665,5.16183077693341,12
CDNS,4.041818181818182,0.20727272727272725,4.98505584905343,11
F,4.014166666666667,-2.5141666666666667,5.0599379412891,12
VTRS,4.0125,0.2508333333333333,6.221891642102152,12
LRCX,4.0,0.32181818181818184,4.811063953392884,11
FOXA,3.9899999999999998,3.2566666666666664,3.4846477149017083,12
BSX,3.9891666666666663,1.0908333333333333,4.8847191383544315,12
VMC,3.9683333333333333,0.03833333333333346,4.660785796668224,12
SWK,3.9575,-1.445833333333333,5.131024101807877,12
KDP,3.9566666666666666,2.3316666666666666,3.955672183617144,12
ABT,3.9158333333333335,-1.3525,4.655235810841965,12
CARR,3.901666666666667,0.2466666666666666,4.64772932503474,12
CRH,3.894444444444444,1.5855555555555556,4.595062869839517,9
DE,3.8699999999999997,-1.3766666666666667,4.128143613898346,12
CTSH,3.8541666666666665,1.7824999999999998,4.572542807593246,12
NVDA,3.848333333333333,2.985,4.254946853636685,12
OTIS,3.8358333333333334,-3.0224999999999995,4.202218299465609,12
